x,y,token
61.297253,15.590308,джейн
-26.1956,26.776937,эомер
-9.296981,-16.351965,вперёд
0.71198946,21.414118,долго
5.1759377,-22.12219,я
-44.449234,13.248484,северный
-9.564904,44.108032,народ
2.4539707,-20.086605,услышать
-11.457992,-19.558546,подняться
-25.01637,53.348198,король
21.44393,37.88513,совет
-13.020819,20.142035,ужас
4.1476912,-5.433569,вид
35.73882,-16.090776,давать
-8.939373,50.19697,средиземье
18.736687,27.36725,пусть
4.4794497,-38.13385,подойти
4.4522467,21.4972,смочь
34.796734,-7.7119293,бродяжник
-24.770098,-39.055973,темнота
24.109598,23.697893,надеяться
36.636208,-9.232268,вроде
38.132565,24.117018,слишком
10.473846,26.790457,элронда
-26.013542,26.861143,теоден
24.04063,18.383347,отвечать
-38.859608,-8.270143,путник
-60.318264,-7.5730286,склон
38.784073,-11.746444,хороший
19.5109,-0.21740466,кой
-22.35841,43.860886,среди
12.400618,19.378248,явиться
-26.639175,-4.873265,исчезнуть
-17.34866,-35.50132,окно
-32.690983,25.25043,битва
25.293497,3.1826594,помнить
7.814206,-15.810177,видно
-22.009584,-26.667109,вниз
15.469979,7.1520715,маг
21.05959,30.768482,бояться
-47.105377,-5.9635596,каменный
9.28738,-60.863453,стрела
16.907307,-9.33163,начать
21.26044,-49.826923,стол
-16.127924,-23.892145,шаг
0.7318496,35.727024,прежде
-20.519728,-39.215862,плащ
14.153901,-6.7603874,взглянуть
26.700197,-8.311437,отозваться
26.828392,-5.7814193,сразу
-42.824825,-10.835993,трава
-23.378143,-12.4774475,быстро
-44.504868,24.270952,город
-13.774057,18.320656,страшный
25.50997,1.0941136,сколько
1.9846741,-28.080526,сон
-54.61052,-6.2407146,широкий
13.382682,-30.85011,встать
-34.21838,-1.4244541,вскоре
15.873294,14.423622,добрый
35.44671,11.344535,случай
29.064833,20.123032,рассказать
5.2189164,-7.4993825,остальной
7.2087154,42.735783,надежда
36.811115,-7.955056,вообще
-10.116107,56.93781,валар
-1.6036345,29.53392,долгий
-44.596603,12.996242,восточный
10.336997,17.727846,послать
-3.9132702,-15.143776,возле
4.974261,51.54045,война
36.103413,-16.377592,ка
-44.600063,27.511871,минас
32.905716,-10.187964,ладный
29.546495,19.478296,случиться
-28.47492,36.705566,корабль
-33.64843,31.87792,моргот
26.214397,23.015507,забыть
5.676854,-52.588234,плечо
28.788074,48.022076,любить
-17.519674,47.833416,эльфийский
-28.539858,55.207375,отец
-62.082157,-8.013667,вершина
-1.3820919,-54.106716,палец
23.661455,16.670994,мало
33.280415,35.44727,мысль
